Frame No,Droplet No,X Centroid (Pixels),X Centroid (mm),Y Centroid (Pixels),Y Centroid (mm),X Diameter (Pixels),X Diameter (mm),Y Diameter (Pixels),Y Diameter (mm),Gradient,Darkness
7,1,605.1627372,19.51122973,53.14433583,1.713442156,66,2.127925405,67,2.160166699,308.5742803,16.76617774
8,1,605.2392055,19.51369517,76.73776626,2.474124884,65,2.095684111,68,2.192407993,305.8302565,15.14363846
9,1,605.3043855,19.51579666,100.347086,3.235319902,64,2.063442817,68,2.192407993,306.8427836,15.4561707
10,1,605.3208912,19.51632882,124.0277778,3.998816049,64,2.063442817,68,2.192407993,310.2882203,14.13831019
11,1,605.3603027,19.5175995,147.9211292,4.769168618,64,2.063442817,68,2.192407993,310.3537808,14.76703553
12,1,605.3221338,19.51636889,171.8493958,5.540646896,64,2.063442817,67,2.160166699,310.0712512,13.73195876
13,1,605.3679667,19.5178466,195.6228044,6.307132352,64,2.063442817,66,2.127925405,302.9593035,13.16641858
14,1,605.4464659,19.52037751,219.4971667,7.076872687,64,2.063442817,66,2.127925405,300.158959,14.54770423
15,1,605.5418398,19.52345249,243.394362,7.847349186,64,2.063442817,66,2.127925405,293.5355378,16.2495549
16,1,605.6660751,19.527458,267.3691216,8.620326458,64,2.063442817,66,2.127925405,294.9679332,17.31421815
17,1,605.821312,19.53246304,291.5428911,9.399720068,65,2.095684111,66,2.127925405,305.2439362,17.53382789
18,1,605.850328,19.53339855,315.6499702,10.17696349,65,2.095684111,65,2.095684111,306.6734421,17.86344663
19,1,605.9297201,19.53595825,339.6634902,10.95119045,65,2.095684111,65,2.095684111,308.5151195,17.93001787
20,1,606.0005922,19.53824327,363.6787089,11.72547218,65,2.095684111,66,2.127925405,305.684912,18.45691442
21,1,606.1185992,19.54204796,387.7766333,12.50242045,66,2.127925405,65,2.095684111,303.6088087,19.3168579
22,1,606.2024089,19.5447501,411.880141,13.27954872,66,2.127925405,65,2.095684111,305.3211884,20.17757558
23,1,606.1510876,19.54309543,436.1166961,14.06096662,66,2.127925405,65,2.095684111,307.0936881,18.68862099
24,1,606.1302817,19.54242462,460.193662,14.83723916,66,2.127925405,65,2.095684111,304.701256,18.09322779
28,2,383.4400185,12.36260237,87.83927744,2.83205197,54,1.741029877,51,1.644305995,258.1299768,37.91338583
33,2,383.103653,12.35175751,206.7068493,6.664496303,55,1.773271171,51,1.644305995,251.7702847,39.70228311
79,3,538.0240642,17.34659204,58.76951872,1.894805332,65,2.095684111,72,2.321373169,404.8214807,19.36125234
80,3,537.9360107,17.34375308,82.37135207,2.65575898,64,2.063442817,73,2.353614463,410.6065673,18.51900428
81,3,538.0493298,17.34740663,106.1077748,3.421051964,63,2.031201523,74,2.385855757,402.5952033,16.67613941
82,3,538.0406023,17.34712525,129.8416241,4.186261977,63,2.031201523,74,2.385855757,399.3149818,18.35510753
83,3,538.0458492,17.34729441,153.6378188,4.953482086,63,2.031201523,74,2.385855757,404.6339697,19.36445047
84,3,538.1185185,17.34963737,177.4458162,5.721082731,61,1.966718935,74,2.385855757,411.3287123,18.76982167
85,3,538.1512047,17.35069121,201.1622819,6.485732275,61,1.966718935,74,2.385855757,416.0642988,18.15789474
86,3,538.2591463,17.35417139,224.9822616,7.253719245,62,1.998960229,73,2.353614463,410.4781797,19.56513304
87,3,538.345576,17.35695799,248.8402894,8.022932931,62,1.998960229,73,2.353614463,401.4549005,20.30292072
88,3,538.2742746,17.35465914,272.7686942,8.794415667,63,2.031201523,72,2.321373169,400.587254,21.18727323
89,3,538.1969569,17.35216632,296.8619329,9.571212861,63,2.031201523,71,2.289131875,409.6401514,19.10115526
90,3,538.1805044,17.35163587,320.8410315,10.34433003,65,2.095684111,69,2.224649287,419.3169502,17.60912698
91,3,538.1241811,17.34981994,344.9279408,11.12092315,65,2.095684111,68,2.192407993,417.6271987,19.74480205
92,3,538.0927982,17.34880811,369.0666097,11.89918507,67,2.160166699,66,2.127925405,405.480445,21.87731284
93,3,538.0474567,17.34734624,393.1824382,12.67671059,69,2.224649287,66,2.127925405,390.1300579,18.35748792
94,3,538.1323068,17.35008192,417.3749644,13.45670894,69,2.224649287,64,2.063442817,398.0261278,15.22127174
95,3,538.1401091,17.35033348,441.5790985,14.23708154,71,2.289131875,63,2.031201523,406.1028092,15.72035601
96,3,538.1290138,17.34997575,465.7173165,15.01532893,71,2.289131875,62,1.998960229,409.7330612,14.41549498
107,4,537.1283064,17.31771165,39.67193052,1.279074376,59,1.902236347,54,1.741029877,263.6485154,29.31504145
108,4,537.3097416,17.32356135,63.81868787,2.057597079,59,1.902236347,54,1.741029877,257.9396138,29.31478537
109,4,537.2900519,17.32292653,87.91330404,2.834438683,59,1.902236347,53,1.708788583,266.6951661,27.69528754
110,4,537.4348172,17.32759395,111.6120827,3.598517973,59,1.902236347,54,1.741029877,274.599009,28.02066773
111,4,537.6492834,17.33450862,135.2906051,4.361944176,58,1.869995053,54,1.741029877,280.7403342,29.86733068
112,4,537.8891105,17.34224096,158.9792581,5.125697001,58,1.869995053,55,1.773271171,281.8917335,36.16679968
113,4,538.1096386,17.34935107,182.9811245,5.899548233,57,1.837753759,55,1.773271171,279.6911464,35.03212851
114,4,538.208013,17.35252278,207.1768515,6.679649781,56,1.805512465,56,1.805512465,275.9216501,33.58323208
115,4,538.2846686,17.35499426,231.2850752,7.456930111,56,1.805512465,56,1.805512465,279.6691696,37.9707198
116,4,538.4547308,17.36047729,255.1349918,8.225882285,55,1.773271171,56,1.805512465,285.5045147,32.69820555
117,4,538.7191333,17.36900197,278.840556,8.990180348,54,1.741029877,56,1.805512465,283.9195274,36.1791411
118,4,538.9362224,17.3760012,302.8401472,9.763958224,54,1.741029877,57,1.837753759,284.1189916,34.10093993
119,4,539.2085211,17.38478046,327.1376485,10.54734111,55,1.773271171,57,1.837753759,278.4814517,33.67008197
120,4,539.2854209,17.38725981,351.4525667,11.33128554,55,1.773271171,56,1.805512465,283.0604091,34.59654889
121,4,539.3783231,17.3902551,375.4449898,12.1048323,55,1.773271171,56,1.805512465,288.0165928,36.57230392
122,4,539.6273469,17.39828395,399.2971429,12.87385658,56,1.805512465,56,1.805512465,291.1673954,33.44657423
123,4,539.842234,17.40521219,423.26702,13.64667644,56,1.805512465,56,1.805512465,288.7335965,36.29351814
124,4,540.1375812,17.41473456,447.5154221,14.4284763,56,1.805512465,56,1.805512465,279.0589364,37.12103981
125,4,540.3735726,17.42234323,471.8278956,15.2123419,57,1.837753759,54,1.741029877,271.7981187,38.70619397
148,5,438.5485044,14.13937127,35.43209378,1.142376553,57,1.837753759,56,1.805512465,367.0358204,19.89822294
149,5,438.2739008,14.13051769,59.09398951,1.90526669,56,1.805512465,55,1.773271171,361.6265926,17.09640984
150,5,437.9703644,14.12073129,82.86944333,2.671818087,57,1.837753759,55,1.773271171,353.374402,16.68709936
151,5,437.7410501,14.1133379,106.4546539,3.432235796,57,1.837753759,56,1.805512465,341.502625,16.41431412
152,5,437.5122433,14.10596087,129.9032385,4.188248507,58,1.869995053,56,1.805512465,342.0664329,17.18966877
153,5,437.216739,14.09643343,153.2988551,4.942553459,58,1.869995053,56,1.805512465,359.2144361,18.05406472
154,5,436.9126291,14.08662853,176.9316918,5.704506696,58,1.869995053,55,1.773271171,364.5100083,17.84114376
155,5,436.612465,14.07695085,200.7319217,6.471856905,58,1.869995053,55,1.773271171,358.9847291,17.28913738
156,5,436.3806841,14.06947794,224.560161,7.240110173,58,1.869995053,54,1.741029877,349.5892678,16.01327968
157,5,436.1733871,14.06279441,248.2443548,8.003719231,58,1.869995053,54,1.741029877,340.092599,15.83803384
158,5,435.7789047,14.05007579,271.7561866,8.761771112,59,1.902236347,53,1.708788583,350.1875483,17.52554745
159,5,435.4872951,14.04067392,295.4065574,9.524289669,58,1.869995053,53,1.708788583,363.4528057,22.45081967
160,5,435.1639685,14.03024945,319.3308427,10.29563959,59,1.902236347,52,1.676547289,366.3700012,23.96390041
161,5,434.8111624,14.01887453,343.2404532,11.06651637,58,1.869995053,52,1.676547289,356.6656429,24.45008389
162,5,434.527135,14.00971712,367.142196,11.83713949,58,1.869995053,53,1.708788583,348.3414329,25.13745271
163,5,434.1890526,13.9988169,390.8193684,12.60052216,58,1.869995053,52,1.676547289,345.896435,24.78367003
164,5,433.9371308,13.99069462,414.5438819,13.36543118,57,1.837753759,53,1.708788583,360.9990735,25.62995781
165,5,433.6018715,13.97988542,438.298171,14.1313002,56,1.805512465,53,1.708788583,373.4413763,24.75531915
166,5,433.305402,13.97032686,462.3547427,14.9069152,57,1.837753759,53,1.708788583,379.096313,25.29732029
234,6,404.1892691,13.03158506,30.48162231,0.982766947,56,1.805512465,54,1.741029877,364.2763014,33.40811153
235,6,403.8805272,13.02163082,53.80569728,1.734765305,55,1.773271171,54,1.741029877,376.3191213,34.32270408
236,6,403.6665247,13.01473111,77.12478705,2.486602935,56,1.805512465,53,1.708788583,378.1535924,35.59667802
237,6,403.2687898,13.00190762,100.5927813,3.243241438,56,1.805512465,54,1.741029877,358.3059548,34.64983022
238,6,402.973339,12.9923819,124.1112992,4.001508887,55,1.773271171,54,1.741029877,347.2148198,33.19678375
239,6,402.6388186,12.98159653,147.6873418,4.761631008,56,1.805512465,54,1.741029877,354.1751095,31.97764656
240,6,402.3691848,12.97290319,171.2872386,5.522522219,56,1.805512465,53,1.708788583,379.1718254,29.65514298
241,6,402.1610133,12.96619147,195.0064405,6.287259983,56,1.805512465,53,1.708788583,401.4742529,28.71091065
242,6,401.8604752,12.95650173,218.5179266,7.045300717,55,1.773271171,53,1.708788583,396.3904814,26.72699784
243,6,401.5926085,12.94786536,242.1413838,7.806951546,56,1.805512465,53,1.708788583,383.9361829,24.54018049
244,6,401.2545142,12.93696477,265.9539983,8.574701052,55,1.773271171,53,1.708788583,376.3857485,24.30210572
245,6,401.018174,12.92934485,289.6629165,9.339107255,55,1.773271171,53,1.708788583,384.6282438,27.67546517
246,6,400.7822475,12.92173828,313.4569305,10.10625706,55,1.773271171,52,1.676547289,394.5109248,28.32356799
247,6,400.4771042,12.91190006,337.0937636,10.86833914,56,1.805512465,53,1.708788583,393.5863411,29.90270506
248,6,400.1180828,12.90032475,360.8021786,11.63272912,55,1.773271171,53,1.708788583,386.8701815,29.76470588
249,6,399.8719169,12.89238804,384.6784942,12.40253243,55,1.773271171,53,1.708788583,374.972967,29.80700995
250,6,399.5901782,12.88330442,408.6132116,13.17421869,55,1.773271171,53,1.708788583,374.2565129,28.35956522
251,6,399.3583916,12.87583132,432.4527972,13.94283778,54,1.741029877,52,1.676547289,385.4130419,29.20507215
252,6,399.1464161,12.86899695,456.3378497,14.71292278,55,1.773271171,53,1.708788583,390.6275898,30.00218627
313,7,588.0244291,18.9586685,56.59824748,1.824800737,65,2.095684111,74,2.385855757,317.6324601,16.66135881
314,7,588.0475162,18.95941286,80.2437905,2.587163642,66,2.127925405,72,2.321373169,315.4334886,18.97731569
315,7,588.0909838,18.96081431,103.7004659,3.34343721,68,2.192407993,69,2.224649287,303.2438876,18.22986301
316,7,588.1460238,18.96258888,127.6638958,4.1160492,69,2.224649287,67,2.160166699,300.2228857,20.59490163
317,7,588.0228749,18.95861839,151.6190342,4.888393858,71,2.289131875,65,2.095684111,303.0305259,21.78339452
318,7,587.9907595,18.95758295,175.4071614,5.655353863,73,2.353614463,61,1.966718935,302.8924528,22.98614719
319,7,587.9739645,18.95704146,199.1195266,6.419871201,73,2.353614463,58,1.869995053,306.8140738,21.80443787
320,7,587.9823353,18.95731135,222.9179641,7.18716362,75,2.418097051,56,1.805512465,302.6047195,24.20347618
321,7,587.9805412,18.9572535,246.8440255,7.958570802,75,2.418097051,54,1.741029877,293.8835339,25.38115502
322,7,588.1191789,18.96172336,270.7359069,8.728875972,76,2.450338345,53,1.708788583,293.3451393,27.39620331
323,7,588.0975534,18.96102613,294.5605451,9.497013137,77,2.482579639,52,1.676547289,299.252897,25.09327549
324,7,588.1154204,18.96160218,318.4564071,10.26744665,77,2.482579639,52,1.676547289,308.1300489,23.90378647
325,7,588.0582255,18.95975814,342.3012939,11.03623666,77,2.482579639,53,1.708788583,315.4764244,24.38798151
326,7,588.0758915,18.96032772,366.3242914,11.81076918,77,2.482579639,55,1.773271171,308.6261338,25.69804997
327,7,588.0914855,18.96083049,390.5102657,12.59055629,75,2.418097051,56,1.805512465,306.9713907,24.82336957
329,7,588.1280919,18.96201073,438.8775029,14.14997861,73,2.353614463,60,1.934477641,313.7559989,21.53062426
330,7,588.2452939,18.96578947,462.9012453,14.92453515,71,2.289131875,62,1.998960229,317.2214368,19.04315088
378,8,412.7905653,13.30890198,48.0305002,1.548565479,56,1.805512465,56,1.805512465,429.5066449,23.68889793
379,8,412.6533172,13.30447692,71.55582524,2.3070524,56,1.805512465,56,1.805512465,434.2427577,25.52772157
380,8,412.5912409,13.3024755,95.07583131,3.06536783,56,1.805512465,55,1.773271171,419.2053149,24.76966748
381,8,412.5620467,13.30153425,118.7038678,3.827166304,56,1.805512465,56,1.805512465,396.5100264,23.76058041
382,8,412.4894992,13.29919522,142.4087237,4.591441532,56,1.805512465,56,1.805512465,395.1368415,22.82519176
383,8,412.4709231,13.2985963,166.0776739,5.354559111,56,1.805512465,55,1.773271171,416.6785833,22.78080521
384,8,412.3126531,13.29349347,189.6493878,6.11454167,57,1.837753759,54,1.741029877,427.9457859,23.23531811
385,8,412.2709783,13.29214982,213.2934916,6.876858174,57,1.837753759,54,1.741029877,413.9839255,20.44844517
386,8,412.2597296,13.29178715,236.9623105,7.639971523,58,1.869995053,53,1.708788583,395.4794073,18.09217534
387,8,412.2050654,13.29002471,260.7422386,8.406667175,58,1.869995053,54,1.741029877,385.3608895,18.37990196
388,8,412.1226492,13.2873675,284.5294358,9.173597195,58,1.869995053,54,1.741029877,396.8359503,19.13199837
389,8,412.036214,13.28458072,308.2279835,9.93766904,58,1.869995053,53,1.708788583,417.3478485,19.0934541
390,8,411.9376291,13.28140221,331.9830648,10.7035636,57,1.837753759,53,1.708788583,419.5297545,18.33085502
391,8,411.8854899,13.27972118,355.7594047,11.47014356,57,1.837753759,53,1.708788583,403.7829699,17.7810822
392,8,411.8541581,13.278711,379.5841868,12.23828537,57,1.837753759,54,1.741029877,387.8155648,18.01351351
393,8,411.7607362,13.27569896,403.5321063,13.01039728,57,1.837753759,54,1.741029877,389.3345986,20.12837285
394,8,411.6621511,13.27252045,427.4696223,13.78217377,57,1.837753759,54,1.741029877,410.3167971,20.27164547
395,8,411.4821208,13.26671604,451.3551171,14.55227304,56,1.805512465,54,1.741029877,421.9551924,20.59597205
468,9,440.4199566,14.19970931,39.22342733,1.264614053,55,1.773271171,53,1.708788583,428.5075079,23.75488069
469,9,440.2960699,14.19571504,62.66113537,2.020276089,55,1.773271171,52,1.676547289,444.9210923,22.87560017
470,9,440.1509599,14.19103651,86.11823735,2.77656341,55,1.773271171,53,1.708788583,428.6058233,22.86131705
471,9,440.0404524,14.1874736,109.6233145,3.534397513,55,1.773271171,52,1.676547289,412.2171,21.82644628
472,9,440.004344,14.18630942,133.2597741,4.296467557,55,1.773271171,53,1.708788583,400.0157903,20.03040834
473,9,439.8501529,14.1813381,156.8152031,5.05592507,55,1.773271171,52,1.676547289,415.1312667,19.88777293
474,9,439.7910448,14.17943238,180.4420544,5.817685329,55,1.773271171,52,1.676547289,437.4528164,18.72024594
475,9,439.6423841,14.17463937,203.9298013,6.574960682,55,1.773271171,52,1.676547289,438.7302842,17.7375386
476,9,439.5325418,14.17109791,227.5061566,7.335092883,55,1.773271171,52,1.676547289,421.0343688,17.00923077
477,9,439.3640755,14.16566634,251.2222222,8.099729529,54,1.741029877,53,1.708788583,401.6388961,16.87000439
478,9,439.2484663,14.16193894,274.9745837,8.865536399,54,1.741029877,53,1.708788583,406.0145216,18.01314636
479,9,439.1136163,14.15759121,298.6962865,9.630354792,54,1.741029877,52,1.676547289,423.1153686,17.75453339
480,9,438.8726708,14.14982281,322.4041704,10.39472765,54,1.741029877,52,1.676547289,430.6404288,19.07275954
481,9,438.752099,14.14593542,345.9871852,11.15507456,54,1.741029877,53,1.708788583,429.8679584,19.99425795
482,9,438.6079895,14.14128914,369.7879719,11.92244272,54,1.741029877,53,1.708788583,410.5986665,22.55375165
483,9,438.5148731,14.13828695,393.6824147,12.69283048,54,1.741029877,54,1.741029877,403.1047606,23.42125984
484,9,438.3654267,14.13346861,417.5404814,13.46204542,54,1.741029877,54,1.741029877,415.7094436,25.59492563
485,9,438.2446201,14.12957365,441.2964427,14.22796835,54,1.741029877,53,1.708788583,439.2675128,25.73374341
486,9,438.1136962,14.12535249,465.1786655,14.99796212,55,1.773271171,53,1.708788583,447.6339155,25.82469244
610,10,587.0055325,18.92581796,27.04656524,0.872016262,53,1.708788583,51,1.644305995,376.5327065,28.66129032
611,10,586.9752973,18.92484314,50.54254346,1.629557004,53,1.708788583,52,1.676547289,375.1111071,26.978957
612,10,586.9625229,18.92443127,74.20749543,2.392545678,53,1.708788583,52,1.676547289,374.2300443,25.42844079
613,10,586.8841044,18.92190296,97.76042144,3.15192249,53,1.708788583,52,1.676547289,374.8294979,26.02152015
614,10,586.772042,18.91828992,121.4431247,3.91548349,54,1.741029877,52,1.676547289,372.9082627,26.89767017
615,10,586.743379,18.91736579,145.0557078,4.676783722,54,1.741029877,52,1.676547289,370.5440808,27.55890411
616,10,586.6956522,18.91582702,168.6413043,5.437213876,54,1.741029877,52,1.676547289,361.620628,25.52538531
617,10,586.6719457,18.91506269,192.3683258,6.20220375,54,1.741029877,52,1.676547289,350.8302403,24.37991859
618,10,586.6609558,18.91470836,216.1672678,6.969512437,54,1.741029877,52,1.676547289,349.7262707,23.61795219
619,10,586.5806306,18.91211857,239.8324324,7.732507967,54,1.741029877,52,1.676547289,358.735981,24.47927928
620,10,586.4910072,18.909229,263.6241007,8.49958214,54,1.741029877,52,1.676547289,370.2820747,23.59360936
621,10,586.4728334,18.90864305,287.3744948,9.265325579,54,1.741029877,52,1.676547289,372.1490442,22.53635548
622,10,586.4164801,18.90682615,311.2888491,10.03635531,54,1.741029877,52,1.676547289,367.1177139,20.54834378
623,10,586.3871691,18.90588112,335.1659937,10.80618535,54,1.741029877,52,1.676547289,363.2242374,20.5580978
624,10,586.3274696,18.90395633,359.059991,11.57655874,54,1.741029877,52,1.676547289,364.3709016,22.26251691
625,10,586.1773466,18.89911617,382.8104693,12.34230489,54,1.741029877,52,1.676547289,369.4121834,23.92957111
626,10,586.0501582,18.89501545,406.6118391,13.10969185,53,1.708788583,52,1.676547289,371.4035636,26.06142728
627,10,586.0094808,18.89370396,430.523702,13.88064126,53,1.708788583,52,1.676547289,374.5476977,25.61580135
628,10,585.9959313,18.89326711,454.5194394,14.65429488,53,1.708788583,52,1.676547289,375.4213297,24.66109354
683,11,454.6222527,14.65760971,32.91208791,1.061128303,54,1.741029877,51,1.644305995,344.3725066,28.81822344
684,11,454.4381085,14.65167267,56.44320816,1.819802069,54,1.741029877,50,1.612064701,355.0128061,28.31432545
685,11,454.2237085,14.64476013,79.74400369,2.571049869,55,1.773271171,50,1.612064701,363.2241292,28.40193816
686,11,454.0287803,14.63847539,103.4184559,3.334344843,55,1.773271171,50,1.612064701,354.6335511,27.74223035
687,11,453.893261,14.63410608,127.1976481,4.101016771,55,1.773271171,51,1.644305995,346.5698304,29.09990958
688,11,453.6894522,14.62753502,151.0239928,4.869208953,55,1.773271171,51,1.644305995,340.42954,32.66289593
689,11,453.5768182,14.62390355,174.8372727,5.636979914,54,1.741029877,51,1.644305995,350.8847758,32.62761126
690,11,453.4108844,14.61855363,198.3609977,6.395415248,54,1.741029877,52,1.676547289,362.2340635,32.16417234
691,11,453.2347397,14.6128745,221.9955117,7.157422561,55,1.773271171,52,1.676547289,363.4620047,29.1571621
692,11,453.0379189,14.60652874,245.8540564,7.926652917,55,1.773271171,53,1.708788583,348.9476035,29.19788453
693,11,452.890933,14.60178973,269.7748576,8.697890502,55,1.773271171,54,1.741029877,340.7612919,29.3833698
694,11,452.6822962,14.59506301,293.7410167,9.470590481,54,1.741029877,54,1.741029877,346.59964,29.53219448
695,11,452.5103844,14.58952035,317.5638533,10.23866956,54,1.741029877,54,1.741029877,352.4893224,23.01015004
696,11,452.3522928,14.58442327,341.20194,11.00079207,54,1.741029877,53,1.708788583,360.9287149,22.58976621
697,11,452.2130719,14.57993461,365.0309368,11.76906976,54,1.741029877,54,1.741029877,345.8749062,21.99738562
698,11,452.0867303,14.57586119,389.1253252,12.54590402,54,1.741029877,54,1.741029877,333.1880599,21.76973114
699,11,451.8937745,14.56964005,413.2982151,13.32526927,53,1.708788583,54,1.741029877,334.9119999,23.00957771
700,11,451.6519629,14.56184373,437.2893692,14.09877512,54,1.741029877,53,1.708788583,342.1843187,26.45614808
701,11,451.45917,14.55562783,461.2864793,14.872473,54,1.741029877,53,1.708788583,352.6708214,24.834375
767,12,586.0522501,18.8950829,41.25218967,1.330023976,64,2.063442817,66,2.127925405,331.0304124,20.52324879
768,12,586.1172085,18.89717724,64.86996719,2.091491685,63,2.031201523,67,2.160166699,332.1376553,18.66129994
769,12,586.1256237,18.89744856,88.51775756,2.853927047,63,2.031201523,68,2.192407993,328.766156,18.252715
770,12,586.3041847,18.9032056,112.1613276,3.616226339,63,2.031201523,69,2.224649287,325.0271532,14.48310713
771,12,586.4749221,18.90871039,136.0045339,4.384962163,63,2.031201523,71,2.289131875,326.8198125,13.51034287
772,12,586.6105352,18.91308273,159.8344074,5.153268122,64,2.063442817,72,2.321373169,330.2871593,12.70095291
773,12,586.7466113,18.91747001,183.6387275,5.920750206,64,2.063442817,72,2.321373169,335.2207545,12.33324115
774,12,586.8272927,18.92007128,207.4176277,6.687412717,64,2.063442817,72,2.321373169,338.1178218,11.33901099
775,12,586.9921196,18.92538551,231.3105978,7.457752992,65,2.095684111,73,2.353614463,336.8132134,14.53137734
776,12,587.1909778,18.93179696,255.2979471,8.231136171,65,2.095684111,73,2.353614463,329.459474,16.58497703
777,12,587.3443065,18.93674047,279.353211,9.006709009,66,2.127925405,72,2.321373169,332.6473092,14.70631068
778,12,587.4584798,18.94042157,303.3822018,9.781434765,66,2.127925405,72,2.321373169,341.18168,14.46632405
779,12,587.5462687,18.94325199,327.3196744,10.55320986,66,2.127925405,71,2.289131875,345.8848461,12.76758078
780,12,587.668762,18.94720134,351.3648538,11.32845756,66,2.127925405,70,2.256890581,345.269275,14.50628759
781,12,587.7682592,18.95040926,375.3220758,12.10086939,66,2.127925405,70,2.256890581,340.81845,15.87836354
782,12,587.8480379,18.95298142,399.4082939,12.87744023,67,2.160166699,68,2.192407993,340.2113466,15.71750626
783,12,587.9024045,18.95473427,423.6794908,13.65997503,67,2.160166699,67,2.160166699,340.2838365,15.38659502
784,12,587.9631124,18.95669157,447.7538905,14.43616483,67,2.160166699,65,2.095684111,341.4896364,14.30997693
846,13,577.8436551,18.63042718,51.7859745,1.669646829,64,2.063442817,67,2.160166699,309.9000913,19.17334548
847,13,577.8528619,18.63072401,75.3023674,2.427845767,63,2.031201523,68,2.192407993,311.4719403,19.93617021
848,13,577.9454116,18.63370794,98.975509,3.191098486,63,2.031201523,70,2.256890581,304.225013,20.78413447
849,13,577.9836877,18.63494201,122.8814448,3.96185679,62,1.998960229,70,2.256890581,301.6420235,21.29341492
850,13,577.9774566,18.63474111,146.916763,4.736786551,62,1.998960229,71,2.289131875,304.4237457,19.84991324
851,13,577.9074661,18.63248453,170.9766503,5.512508452,62,1.998960229,71,2.289131875,306.6820217,19.15859285
852,13,577.843098,18.63040922,194.9196913,6.284463077,62,1.998960229,71,2.289131875,309.8153155,17.91392622
853,13,577.7736276,18.6281694,218.7809847,7.053782052,63,2.031201523,72,2.321373169,305.3152735,20.17199434
854,13,577.6936836,18.6255919,242.6981554,7.824902584,64,2.063442817,73,2.353614463,298.970761,22.27110117
855,13,577.6254858,18.62339312,266.7648529,8.600844053,64,2.063442817,73,2.353614463,298.7804549,22.88506385
856,13,577.5652535,18.62145115,290.9091161,9.379286343,64,2.063442817,73,2.353614463,305.5935793,21.98753463
857,13,577.5104626,18.61968462,315.0578194,10.15787179,66,2.127925405,73,2.353614463,308.2942159,22.12689238
858,13,577.4910837,18.61905982,339.0192044,10.93041784,66,2.127925405,72,2.321373169,307.8997074,22.24629731
859,13,577.409805,18.61643929,363.0782774,11.70611349,67,2.160166699,72,2.321373169,304.5587831,24.37388242
